rank,team,year
1.0,Ohio State,1962
2.0,Cincinnati,1962
3.0,Wake Forest,1962
4.0,USC,1962
5.0,Providence,1962
6.0,Purdue,1962
7.0,Duke,1962
8.0,Kansas State,1962
9.0,St. John's,1962
10.0,Seattle,1962
1.0,Cincinnati,1963
2.0,Duke,1963
3.0,Kentucky,1963
4.0,Loyola Chicago,1963
5.0,West Virginia,1963
6.0,Mississippi State,1963
7.0,Oregon State,1963
8.0,Illinois,1963
9.0,St. Bonaventure,1963
10.0,Wisconsin,1963
1.0,Loyola Chicago,1964
2.0,New York,1964
3.0,Cincinnati,1964
4.0,Duke,1964
5.0,Wichita State,1964
6.0,Arizona State,1964
7.0,Ohio State,1964
8.0,Michigan,1964
9.0,Kentucky,1964
10.0,Oregon State,1964
1.0,Michigan,1965
2.0,UCLA,1965
3.0,Wichita State,1965
4.0,Davidson,1965
5.0,Duke,1965
6.0,Vanderbilt,1965
7.0,Syracuse,1965
8.0,Kansas State,1965
9.0,San Francisco,1965
10.0,St. John's,1965
11.0,Kentucky,1965
11.0,Minnesota,1965
13.0,North Carolina,1965
14.0,Bradley,1965
15.0,Seattle,1965
16.0,Villanova,1965
17.0,Notre Dame,1965
18.0,Kansas,1965
19.0,BYU,1965
20.0,DePaul,1965
1.0,UCLA,1966
2.0,Michigan,1966
3.0,Duke,1966
4.0,Saint Joseph's,1966
5.0,Vanderbilt,1966
6.0,Providence,1966
7.0,Minnesota,1966
8.0,Kansas,1966
9.0,Bradley,1966
10.0,Kansas State,1966
1.0,UCLA,1967
2.0,UTEP,1967
3.0,Kentucky,1967
4.0,Duke,1967
5.0,Louisville,1967
6.0,New Mexico,1967
7.0,Houston,1967
8.0,Western Kentucky,1967
9.0,North Carolina,1967
10.0,Cincinnati,1967
1.0,UCLA,1968
2.0,Houston,1968
3.0,Louisville,1968
4.0,North Carolina,1968
5.0,Kansas,1968
6.0,Dayton,1968
7.0,Boston College,1968
8.0,Princeton,1968
9.0,Vanderbilt,1968
10.0,Davidson,1968
1.0,UCLA,1969
2.0,North Carolina,1969
3.0,Kentucky,1969
4.0,Notre Dame,1969
5.0,Kansas,1969
6.0,Davidson,1969
7.0,St. Bonaventure,1969
8.0,Houston,1969
9.0,New Mexico,1969
10.0,Purdue,1969
11.0,Villanova,1969
12.0,Ohio State,1969
13.0,Vanderbilt,1969
14.0,Cincinnati,1969
15.0,Marquette,1969
16.0,Western Kentucky,1969
17.0,Duke,1969
18.0,Detroit,1969
19.0,Florida,1969
20.0,Tennessee,1969
1.0,South Carolina,1970
2.0,Kentucky,1970
3.0,Purdue,1970
4.0,UCLA,1970
5.0,Davidson,1970
6.0,New Mexico State,1970
7.0,North Carolina,1970
8.0,Marquette,1970
9.0,Villanova,1970
10.0,Colorado,1970
11.0,Duquesne,1970
12.0,Santa Clara,1970
13.0,Notre Dame,1970
14.0,St. John's,1970
15.0,Louisville,1970
16.0,USC,1970
17.0,St. Bonaventure,1970
18.0,Ohio State,1970
19.0,Drake,1970
20.0,Houston,1970
1.0,UCLA,1971
2.0,South Carolina,1971
3.0,Kentucky,1971
4.0,Jacksonville,1971
