year,rank,class,team,seed,conf,wins_losses,pythagorean_rating,adj_offensive_efficiency,adj_offensive_efficiency_seed,adj_defensive_efficiency,adj_defensive_efficiency_seed,adj_tempo,adj_tempo_seed,luck,luck_seed,sos_pythagorean_rating,sos_pythagorean_seed,opposing_offenses,opposing_offenses_seed,opposing_defenses,opposing_defenses_seed,ncsos_pythagorean_rating,ncsos_pythagorean_seed
2016,1,,Kansas,1,B12,30-4,0.9503,118.9,8,92,5,69.7,127,+.062,39,0.763,2,109.6,6,99,4,0.5782,93
2016,2,,Virginia,1,ACC,26-7,0.9482,118.3,9,91.9,4,61.4,351,-0.043,281,0.7548,4,109.8,4,99.5,9,0.6087,55
2016,3,,Michigan St.,2,B10,29-5,0.945,121.3,2,94.8,19,67.4,253,-0.004,184,0.65,60,105.8,79,100.3,20,0.4771,208
2016,4,,North Carolina,1,ACC,28-6,0.9407,119.5,4,94,16,72,48,-0.043,283,0.721,16,109.3,9,100.6,32,0.5742,99
2016,5,,Villanova,2,BE,29-5,0.9352,117.2,11,93,7,67.4,249,+.012,143,0.6873,32,107.7,40,100.5,29,0.59,76
2016,6,,West Virginia,3,B12,26-8,0.9236,114.8,23,92.4,6,70.5,93,+.008,157,0.7499,5,109.4,8,99.5,8,0.5318,145
2016,7,,Oklahoma,2,B12,25-7,0.9199,115.4,20,93.3,11,70.8,83,+.008,159,0.7589,3,109.7,5,99.3,6,0.5397,138
2016,8,,Kentucky,4,SEC,26-8,0.9198,122.3,1,98.9,70,67.6,241,-0.035,269,0.6892,31,106.9,54,99.8,11,0.5991,67
2016,9,,Oregon,1,P12,28-6,0.9123,119.4,5,97.4,50,68.7,184,+.035,92,0.7022,24,107,52,99.3,7,0.5152,169
2016,10,,Purdue,5,B10,26-8,0.9078,115.3,21,94.5,18,68.3,208,-0.031,253,0.6563,56,107.5,44,101.6,77,0.4265,266
2016,11,,Louisville,,ACC,23-8,0.9018,109.7,70,90.5,3,66.9,274,-0.024,240,0.6629,51,108.9,15,102.7,115,0.3854,306
2016,12,,Wichita St.,11,MVC,24-8,0.9005,108.9,81,89.9,1,67,267,-0.08,333,0.5367,122,102.1,261,100.8,39,0.6524,26
2016,13,,Miami FL,3,ACC,25-7,0.8971,117.2,12,97.1,44,66.8,281,+.054,53,0.7335,11,109.5,7,100.3,23,0.5401,136
2016,14,,Indiana,5,B10,25-7,0.8959,119,7,98.7,66,68.8,179,-0.003,183,0.6137,73,106.5,64,102.3,102,0.4152,278
2016,15,,Xavier,2,BE,27-5,0.8946,115.8,18,96.2,36,72.9,29,+.067,36,0.6729,45,106.5,63,100,15,0.5336,142
2016,16,,Arizona,6,P12,25-8,0.8927,116.1,17,96.5,40,69.2,151,-0.033,262,0.6304,70,106.1,69,101.3,63,0.3871,304
2016,17,,Texas A&M,3,SEC,26-8,0.8923,112.6,36,93.7,12,67.5,247,+.002,176,0.6742,43,107.7,38,101.1,55,0.5547,115
2016,18,,Iowa St.,4,B12,21-11,0.8919,120.5,3,100.3,101,71.8,54,-0.07,326,0.7452,6,108,31,98.4,1,0.5192,161
2016,19,,SMU,,Amer,25-5,0.8907,116.4,15,97,43,66.6,290,+.015,136,0.5815,89,104.2,142,101.3,64,0.4687,219
2016,20,,Iowa,7,B10,21-10,0.8832,114.4,25,95.9,31,69.9,116,-0.099,342,0.687,33,108.3,24,101.2,56,0.5254,152
