rank,team,year
1,Ohio State,1962
2,Cincinnati,1962
3,Wake Forest,1962
4,USC,1962
5,Providence,1962
6,Purdue,1962
7,Duke,1962
8,Kansas State,1962
9,St. John's,1962
10,Seattle,1962
1,Cincinnati,1963
2,Duke,1963
3,Kentucky,1963
4,Loyola Chicago,1963
5,West Virginia,1963
6,Mississippi State,1963
7,Oregon State,1963
8,Illinois,1963
9,St. Bonaventure,1963
10,Wisconsin,1963
1,Loyola Chicago,1964
2,New York,1964
3,Cincinnati,1964
4,Duke,1964
5,Wichita State,1964
6,Arizona State,1964
7,Ohio State,1964
8,Michigan,1964
9,Kentucky,1964
10,Oregon State,1964
1,Michigan,1965
2,UCLA,1965
3,Wichita State,1965
4,Davidson,1965
5,Duke,1965
6,Vanderbilt,1965
7,Syracuse,1965
8,Kansas State,1965
9,San Francisco,1965
10,St. John's,1965
11,Kentucky,1965
11,Minnesota,1965
13,North Carolina,1965
14,Bradley,1965
15,Seattle,1965
16,Villanova,1965
17,Notre Dame,1965
18,Kansas,1965
19,BYU,1965
20,DePaul,1965
1,UCLA,1966
2,Michigan,1966
3,Duke,1966
4,Saint Joseph's,1966
5,Vanderbilt,1966
6,Providence,1966
7,Minnesota,1966
8,Kansas,1966
9,Bradley,1966
10,Kansas State,1966
1,UCLA,1967
2,UTEP,1967
3,Kentucky,1967
4,Duke,1967
5,Louisville,1967
6,New Mexico,1967
7,Houston,1967
8,Western Kentucky,1967
9,North Carolina,1967
10,Cincinnati,1967
1,UCLA,1968
2,Houston,1968
3,Louisville,1968
4,North Carolina,1968
5,Kansas,1968
6,Dayton,1968
7,Boston College,1968
8,Princeton,1968
9,Vanderbilt,1968
10,Davidson,1968
1,UCLA,1969
2,North Carolina,1969
3,Kentucky,1969
4,Notre Dame,1969
5,Kansas,1969
6,Davidson,1969
7,St. Bonaventure,1969
8,Houston,1969
9,New Mexico,1969
10,Purdue,1969
11,Villanova,1969
12,Ohio State,1969
13,Vanderbilt,1969
14,Cincinnati,1969
15,Marquette,1969
16,Western Kentucky,1969
17,Duke,1969
18,Detroit,1969
19,Florida,1969
20,Tennessee,1969
1,South Carolina,1970
2,Kentucky,1970
3,Purdue,1970
4,UCLA,1970
5,Davidson,1970
6,New Mexico State,1970
7,North Carolina,1970
8,Marquette,1970
9,Villanova,1970
10,Colorado,1970
11,Duquesne,1970
12,Santa Clara,1970
13,Notre Dame,1970
14,St. John's,1970
15,Louisville,1970
16,USC,1970
17,St. Bonaventure,1970
18,Ohio State,1970
19,Drake,1970
20,Houston,1970
1,UCLA,1971
2,South Carolina,1971
3,Kentucky,1971
4,Jacksonville,1971
5,Notre Dame,1971
6,Marquette,1971
7,USC,1971
8,Villanova,1971
9,Western Kentucky,1971
10,Drake,1971
11,Penn,1971
12,Utah State,1971
13,Duke,1971
14,Kansas,1971
15,New Mexico State,1971
16,Indiana,1971
17,Houston,1971
18,Long Beach State,1971
19,NC State,1971
20,St. Bonaventure,1971
1,UCLA,1972
2,North Carolina,1972
3,USC,1972
4,Marquette,1972
5,Ohio State,1972
6,Maryland,1972
7,Houston,1972
8,Long Beach State,1972
9,Louisville,1972
10,Kentucky,1972
11,Jacksonville,1972
12,South Carolina,1972
13,Michigan,1972
14,Kansas,1972
15,Penn,1972
16,New Mexico,1972
17,St. John's,1972
18,Villanova,1972
19,BYU,1972
20,Oklahoma,1972
1,UCLA,1973
2,Florida State,1973
3,Maryland,1973
4,Minnesota,1973
5,Marquette,1973
6,Long Beach State,1973
7,Louisiana-Lafayette,1973
8,NC State,1973
9,Penn,1973
10,Ohio State,1973
11,Memphis,1973
12,BYU,1973
13,Kentucky,1973
14,Tennessee,1973
15,Houston,1973
16,South Carolina,1973
17,Kansas State,1973
18,Oral Roberts,1973
19,Michigan,1973
20,Louisville,1973
20,USC,1973
1,UCLA,1974
2,NC State,1974
3,Indiana,1974
4,Maryland,1974
5,North Carolina,1974
6,Providence,1974
7,Marquette,1974
