team,id,region
Connecticut,3163,Albany
Saint Francis (Pa),3384,Albany
Miami (Fl),3274,Albany
Quinnipiac,3346,Albany
Duke,3181,Albany
Belmont,3125,Albany
Georgia,3208,Albany
Mercer,3273,Albany
South Fla.,3378,Albany
Buffalo,3138,Albany
Florida St,3199,Albany
Ark Little Rock,3114,Albany
California,3143,Albany
Virginia,3438,Albany
South Carolina,3376,Albany
N. Carolina A&T,3299,Albany
Notre Dame,3323,Spokane
Cal St. Northridge,3169,Spokane
S Dakota St,3355,Spokane
Villanova,3437,Spokane
Depaul,3177,Spokane
Oklahoma,3328,Spokane
Texas A&M,3401,Spokane
Drake,3179,Spokane
Louisiana State,3261,Spokane
C Michigan,3141,Spokane
Ohio St,3326,Spokane
G Washington,3203,Spokane
Green Bay,3453,Spokane
Minnesota,3278,Spokane
Oregon,3332,Spokane
Seattle,3370,Spokane
Mississippi St,3280,Kansas City
Nicholls,3311,Kansas City
Syracuse,3393,Kansas City
Oklahoma St,3329,Kansas City
Maryland,3268,Kansas City
Princeton,3343,Kansas City
N.C. State,3301,Kansas City
Elon,3189,Kansas City
Iowa,3234,Kansas City
Creighton,3166,Kansas City
UCLA,3417,Kansas City
American,3110,Kansas City
Arizona St,3113,Kansas City
Nebraska,3304,Kansas City
Texas,3400,Kansas City
Maine,3263,Kansas City
Louisville,3257,Lexington
Boise St,3129,Lexington
Marquette,3266,Lexington
Dayton,3173,Lexington
Missouri,3281,Lexington
FGCU,3195,Lexington
Stanford,3390,Lexington
Gonzaga,3211,Lexington
Oregon St,3333,Lexington
W Kentucky,3443,Lexington
Tennessee,3397,Lexington
Liberty,3251,Lexington
Michigan,3276,Lexington
N Colorado,3294,Lexington
Baylor,3124,Lexington
Grambling,3212,Lexington
